lon,lat
-89.81,35.1
-89.82,35.2
-84.33,35.14
-84.51,35.88
-84.01,35.93
-86.95,36.07
-84.84,35.16
-88.44,35.07
-89.36,35.24
-81.88,36.55
-83.21,35.81
-88.07,35.9
-84.62,35.25
-89.04,36.32
-86.22,35.83
-88.81,36.07
-90.05,35.13
-85.43,36.62
-88.83,35.22
-86.36,35.85
-87.34,35.89
-84.3,35.96
-88.97,35.97
-86.62,36.3
-85.53,36.15
-84.77,35.38
-83.86,36.36
-87.46,36.23
-86.41,35.6
-84.1,35.92
-86.89,35.08
-83.81,36.48
-87.26,36.24
-86.02,36.13
-86.46,35.11
-89.9,35.12
-87.03,35.62
-88.9,35.06
-87.75,36.29
-83.9,35.97
-86.11,35.99
-86.55,35.76
-89.38,36.04
-88.04,35.27
-85.24,35.03
-87.35,36.56
-83.91,36.17
-85.71,36.48
-85.73,35.28
-82.34,36.19
-85.91,36.11
-89.89,35.11
-83.52,35.71
-86.04,36.4
-85.29,35.0
-83.19,36.37
-84.37,35.14
-84.97,35.96
-82.38,36.31
-85.31,35.05
-84.41,35.68
-85.9,36.35
-87.58,35.02
-84.52,35.33
-83.75,36.16
-83.91,35.97
-88.29,35.31
-88.48,36.38
-86.38,35.26
-86.66,36.1
-89.49,35.15
-89.07,35.72
-84.09,35.48
-86.22,36.57
-84.57,36.43
-85.65,35.49
-86.8,36.14
-88.1,36.06
-86.07,35.81
-84.0,35.92
-85.65,35.4
-82.82,36.16
-86.78,35.17
-86.45,35.82
-87.12,36.09
-88.83,35.36
-89.31,36.33
-84.19,36.28
-86.78,36.17
-83.87,36.54
-86.27,35.05
-82.41,36.14
-86.44,35.87
-88.34,35.13
-86.02,36.52
-89.03,36.18
-84.86,35.2
-84.17,35.66
-89.0,35.27
-88.52,35.86
-87.54,36.5
-84.5,36.52
-83.93,36.11
-84.04,36.09
-85.14,35.35
-86.67,36.11
-88.99,35.77
-87.23,36.12
-85.01,35.08
-86.72,36.21
-89.54,35.39
-83.94,35.96
-85.97,36.01
-88.7,36.29
-87.55,35.55
-86.42,35.03
-89.9,35.11
-83.25,36.16
-83.92,35.96
-84.3,36.46
-86.59,35.38
-89.86,35.12
-85.32,36.39
-87.38,36.08
-85.25,35.06
-83.09,36.18
-85.09,36.27
-84.51,35.18
-90.04,35.1
-85.32,35.0
-87.35,36.53
-83.74,36.08
-89.38,36.04
-87.21,35.54
-89.86,35.14
-83.83,35.99
-86.77,36.4
-83.88,36.54
-84.55,35.51
-86.64,35.75
-86.08,35.47
-90.01,35.04
-84.34,36.05
-89.91,35.33
-86.87,36.53
-83.71,36.02
-84.12,35.87
-86.36,35.71
-89.85,35.03
-89.8,35.43
-87.34,35.7
-83.64,36.58
-83.6,36.31
-84.13,35.88
-85.01,35.3
-89.9,35.11
-89.27,35.6
-86.39,35.84
-84.25,36.02
-86.6,36.19
-88.62,36.22
-85.6,35.71
-89.37,35.29
-86.49,36.57
-88.25,36.04
-90.0,35.06
-84.3,35.71
-87.51,35.04
-86.08,35.21
-88.65,35.42
-86.8,36.15
-89.34,35.44
-85.1,35.39
-84.85,35.9
-88.9,35.47
-85.41,35.7
-86.78,36.07
-85.57,35.38
-83.92,36.05
-88.82,35.61
-89.97,35.15
-87.03,35.19
-89.68,35.16
-85.0,35.62
-84.13,36.58
-87.1,36.57
-89.96,35.47
-87.15,35.05
-90.0,35.13
-84.15,36.22
-85.74,35.36
-86.84,35.36
-83.97,35.75
-84.85,35.67
-82.27,36.41
-89.99,35.06
-87.41,36.3
-85.31,35.04
-90.05,35.15
-85.51,35.2
-90.02,35.24
-84.95,36.57
-82.3,36.3
-85.83,35.65
-89.19,36.2
-87.03,36.12
-84.32,36.03
-88.64,35.05
-86.63,36.25
-88.38,36.35
-88.39,35.72
-84.36,35.52
-86.72,36.08
-82.61,36.15
-89.02,36.07
-86.57,35.62
-83.92,35.96
-83.1,35.82
-84.6,35.44
-82.7,36.19
-89.66,35.56
-86.78,36.17
-86.89,35.08
-88.21,35.17
-86.9,35.8
-85.05,35.05
-82.82,36.19
-86.78,36.16
-88.31,35.44
-86.0,35.39
-82.55,36.02
-89.81,35.45
-86.77,36.22
-82.18,36.57
-86.44,35.02
-83.05,36.56
-85.75,36.1
-86.67,36.13
-84.58,36.46
-84.64,35.04
-88.4,35.66
-85.66,35.19
-83.69,36.54
-88.5,35.49
-86.18,35.92
-89.15,35.27
-89.86,35.06
-87.44,35.08
-87.53,35.15
-83.58,36.39
-84.87,35.13
-88.82,36.24
-84.02,35.95
-88.39,35.23
-90.03,35.17
-83.33,36.34
-84.97,35.98
-89.15,35.32
-87.97,36.01
-86.28,36.19
-85.14,35.03
-90.05,35.15
-89.84,35.56
-83.2,36.25
-86.1,35.7
-87.09,35.15
-83.48,35.84
-87.9,36.32
-85.95,36.25
